Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
Cheverly,Late Night (12am-Close),0.0K,March_23_2024,Spring
Capitol South,Late Night (12am-Close),0.0K,March_23_2024,Spring
Capitol Heights,Late Night (12am-Close),0.0K,March_23_2024,Spring
Brookland-CUA,Late Night (12am-Close),0.0K,March_23_2024,Spring
Branch Ave,Late Night (12am-Close),0.0K,March_23_2024,Spring
Braddock Road,Late Night (12am-Close),0.0K,March_23_2024,Spring
Bethesda,Late Night (12am-Close),0.0K,March_23_2024,Spring
Benning Road,Late Night (12am-Close),0.0K,March_23_2024,Spring
Ballston-MU,Late Night (12am-Close),0.0K,March_23_2024,Spring
Ashburn,Late Night (12am-Close),0.0K,March_23_2024,Spring
Arlington Cemetery,Late Night (12am-Close),0.0K,March_23_2024,Spring
Archives,Late Night (12am-Close),0.0K,March_23_2024,Spring
Anacostia,Late Night (12am-Close),0.0K,March_23_2024,Spring
Addison Road,Late Night (12am-Close),0.0K,March_23_2024,Spring
Woodley Park,Evening (7pm-12am),0.5K,March_23_2024,Spring
Wiehle-Reston East,Evening (7pm-12am),0.1K,March_23_2024,Spring
Wheaton,Evening (7pm-12am),0.2K,March_23_2024,Spring
West Hyattsville,Evening (7pm-12am),0.1K,March_23_2024,Spring
West Falls Church,Evening (7pm-12am),0.1K,March_23_2024,Spring
Waterfront,Evening (7pm-12am),1.5K,March_23_2024,Spring
Virginia Sq-GMU,Evening (7pm-12am),0.3K,March_23_2024,Spring
Vienna,Evening (7pm-12am),0.3K,March_23_2024,Spring
Van Ness-UDC,Evening (7pm-12am),0.4K,March_23_2024,Spring
Van Dorn Street,Evening (7pm-12am),0.1K,March_23_2024,Spring
Union Station,Evening (7pm-12am),1.8K,March_23_2024,Spring
U Street,Evening (7pm-12am),1.7K,March_23_2024,Spring
Tysons,Evening (7pm-12am),0.7K,March_23_2024,Spring
Twinbrook,Evening (7pm-12am),0.2K,March_23_2024,Spring
Tenleytown-AU,Evening (7pm-12am),0.6K,March_23_2024,Spring
Takoma,Evening (7pm-12am),0.2K,March_23_2024,Spring
Suitland,Evening (7pm-12am),0.1K,March_23_2024,Spring
Stadium-Armory,Evening (7pm-12am),0.2K,March_23_2024,Spring
Spring Hill,Evening (7pm-12am),0.1K,March_23_2024,Spring
Southern Ave,Evening (7pm-12am),0.2K,March_23_2024,Spring
Smithsonian,Evening (7pm-12am),1.3K,March_23_2024,Spring
Silver Spring,Evening (7pm-12am),0.8K,March_23_2024,Spring
Shaw-Howard U,Evening (7pm-12am),0.6K,March_23_2024,Spring
Shady Grove,Evening (7pm-12am),0.3K,March_23_2024,Spring
Rosslyn,Evening (7pm-12am),0.9K,March_23_2024,Spring
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.3K,March_23_2024,Spring
Rockville,Evening (7pm-12am),0.2K,March_23_2024,Spring
Rhode Island Ave,Evening (7pm-12am),0.5K,March_23_2024,Spring
Reston Town Center,Evening (7pm-12am),0.1K,March_23_2024,Spring
Potomac Yard,Evening (7pm-12am),0.1K,March_23_2024,Spring
Potomac Ave,Evening (7pm-12am),0.3K,March_23_2024,Spring
Pentagon City,Evening (7pm-12am),1.4K,March_23_2024,Spring
Pentagon,Evening (7pm-12am),0.2K,March_23_2024,Spring
North Bethesda,Evening (7pm-12am),0.2K,March_23_2024,Spring
NoMa-Gallaudet U,Evening (7pm-12am),1.5K,March_23_2024,Spring
New Carrollton,Evening (7pm-12am),0.2K,March_23_2024,Spring
Naylor Road,Evening (7pm-12am),0.1K,March_23_2024,Spring
Navy Yard-Ballpark,Evening (7pm-12am),3.9K,March_23_2024,Spring
Mt Vernon Sq,Evening (7pm-12am),0.8K,March_23_2024,Spring
Morgan Boulevard,Evening (7pm-12am),0.0K,March_23_2024,Spring
Minnesota Ave,Evening (7pm-12am),0.1K,March_23_2024,Spring
Metro Center,Evening (7pm-12am),2.8K,March_23_2024,Spring
Medical Center,Evening (7pm-12am),0.1K,March_23_2024,Spring
McPherson Sq,Evening (7pm-12am),0.9K,March_23_2024,Spring
McLean,Evening (7pm-12am),0.2K,March_23_2024,Spring
Loudoun Gateway,Evening (7pm-12am),0.0K,March_23_2024,Spring
Landover,Evening (7pm-12am),0.0K,March_23_2024,Spring
L'Enfant Plaza,Evening (7pm-12am),1.3K,March_23_2024,Spring
King St-Old Town,Evening (7pm-12am),0.6K,March_23_2024,Spring
Judiciary Square,Evening (7pm-12am),0.3K,March_23_2024,Spring
Innovation Center,Evening (7pm-12am),0.1K,March_23_2024,Spring
Hyattsville Crossing,Evening (7pm-12am),0.4K,March_23_2024,Spring
Huntington,Evening (7pm-12am),0.2K,March_23_2024,Spring
Herndon,Evening (7pm-12am),0.0K,March_23_2024,Spring
Grosvenor-Strathmore,Evening (7pm-12am),0.1K,March_23_2024,Spring
Greensboro,Evening (7pm-12am),0.1K,March_23_2024,Spring
Greenbelt,Evening (7pm-12am),0.2K,March_23_2024,Spring
Glenmont,Evening (7pm-12am),0.2K,March_23_2024,Spring
Georgia Ave-Petworth,Evening (7pm-12am),0.5K,March_23_2024,Spring
Gallery Place,Evening (7pm-12am),6.5K,March_23_2024,Spring
Friendship Heights,Evening (7pm-12am),0.4K,March_23_2024,Spring
Franconia-Springfield,Evening (7pm-12am),0.2K,March_23_2024,Spring
Fort Totten,Evening (7pm-12am),0.4K,March_23_2024,Spring
Forest Glen,Evening (7pm-12am),0.1K,March_23_2024,Spring
Foggy Bottom-GWU,Evening (7pm-12am),2.6K,March_23_2024,Spring
Federal Triangle,Evening (7pm-12am),0.3K,March_23_2024,Spring
Federal Center SW,Evening (7pm-12am),0.1K,March_23_2024,Spring
Farragut West,Evening (7pm-12am),0.8K,March_23_2024,Spring
Farragut North,Evening (7pm-12am),1.1K,March_23_2024,Spring
Eisenhower Ave,Evening (7pm-12am),0.1K,March_23_2024,Spring
Eastern Market,Evening (7pm-12am),0.8K,March_23_2024,Spring
East Falls Church,Evening (7pm-12am),0.2K,March_23_2024,Spring
Dupont Circle,Evening (7pm-12am),2.4K,March_23_2024,Spring
Dunn Loring,Evening (7pm-12am),0.2K,March_23_2024,Spring
Dulles Airport,Evening (7pm-12am),0.7K,March_23_2024,Spring
Downtown Largo,Evening (7pm-12am),0.1K,March_23_2024,Spring
Deanwood,Evening (7pm-12am),0.1K,March_23_2024,Spring
Crystal City,Evening (7pm-12am),0.5K,March_23_2024,Spring
Court House,Evening (7pm-12am),0.6K,March_23_2024,Spring
Congress Heights,Evening (7pm-12am),0.1K,March_23_2024,Spring
Columbia Heights,Evening (7pm-12am),1.3K,March_23_2024,Spring
College Park-U of Md,Evening (7pm-12am),0.2K,March_23_2024,Spring
Cleveland Park,Evening (7pm-12am),0.6K,March_23_2024,Spring
Clarendon,Evening (7pm-12am),0.8K,March_23_2024,Spring
Cheverly,Evening (7pm-12am),0.0K,March_23_2024,Spring
Capitol South,Evening (7pm-12am),0.2K,March_23_2024,Spring
Capitol Heights,Evening (7pm-12am),0.1K,March_23_2024,Spring
Brookland-CUA,Evening (7pm-12am),0.5K,March_23_2024,Spring
Branch Ave,Evening (7pm-12am),0.2K,March_23_2024,Spring
Braddock Road,Evening (7pm-12am),0.2K,March_23_2024,Spring
Bethesda,Evening (7pm-12am),0.5K,March_23_2024,Spring
Benning Road,Evening (7pm-12am),0.2K,March_23_2024,Spring
Ballston-MU,Evening (7pm-12am),0.8K,March_23_2024,Spring
Ashburn,Evening (7pm-12am),0.1K,March_23_2024,Spring
Arlington Cemetery,Evening (7pm-12am),0.0K,March_23_2024,Spring
Archives,Evening (7pm-12am),0.6K,March_23_2024,Spring
Anacostia,Evening (7pm-12am),0.3K,March_23_2024,Spring
Addison Road,Evening (7pm-12am),0.1K,March_23_2024,Spring
Woodley Park,PM Peak (3pm-7pm),1.2K,March_23_2024,Spring
Wiehle-Reston East,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Wheaton,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
West Hyattsville,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
West Falls Church,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Waterfront,PM Peak (3pm-7pm),1.1K,March_23_2024,Spring
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7K,March_23_2024,Spring
Vienna,PM Peak (3pm-7pm),0.7K,March_23_2024,Spring
Van Ness-UDC,PM Peak (3pm-7pm),0.6K,March_23_2024,Spring
Van Dorn Street,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Union Station,PM Peak (3pm-7pm),3.1K,March_23_2024,Spring
U Street,PM Peak (3pm-7pm),1.6K,March_23_2024,Spring
Tysons,PM Peak (3pm-7pm),1.0K,March_23_2024,Spring
Twinbrook,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Tenleytown-AU,PM Peak (3pm-7pm),1.0K,March_23_2024,Spring
Takoma,PM Peak (3pm-7pm),0.6K,March_23_2024,Spring
Suitland,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Stadium-Armory,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Spring Hill,PM Peak (3pm-7pm),0.1K,March_23_2024,Spring
Southern Ave,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Smithsonian,PM Peak (3pm-7pm),8.6K,March_23_2024,Spring
Silver Spring,PM Peak (3pm-7pm),1.2K,March_23_2024,Spring
Shaw-Howard U,PM Peak (3pm-7pm),0.8K,March_23_2024,Spring
Shady Grove,PM Peak (3pm-7pm),0.8K,March_23_2024,Spring
Rosslyn,PM Peak (3pm-7pm),1.4K,March_23_2024,Spring
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.2K,March_23_2024,Spring
Rockville,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Rhode Island Ave,PM Peak (3pm-7pm),0.9K,March_23_2024,Spring
Reston Town Center,PM Peak (3pm-7pm),0.1K,March_23_2024,Spring
Potomac Yard,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Potomac Ave,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Pentagon City,PM Peak (3pm-7pm),2.4K,March_23_2024,Spring
Pentagon,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
North Bethesda,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
NoMa-Gallaudet U,PM Peak (3pm-7pm),2.5K,March_23_2024,Spring
New Carrollton,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Naylor Road,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Navy Yard-Ballpark,PM Peak (3pm-7pm),1.6K,March_23_2024,Spring
Mt Vernon Sq,PM Peak (3pm-7pm),1.2K,March_23_2024,Spring
Morgan Boulevard,PM Peak (3pm-7pm),0.1K,March_23_2024,Spring
Minnesota Ave,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Metro Center,PM Peak (3pm-7pm),4.1K,March_23_2024,Spring
Medical Center,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
McPherson Sq,PM Peak (3pm-7pm),1.3K,March_23_2024,Spring
McLean,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Loudoun Gateway,PM Peak (3pm-7pm),0.0K,March_23_2024,Spring
Landover,PM Peak (3pm-7pm),0.1K,March_23_2024,Spring
L'Enfant Plaza,PM Peak (3pm-7pm),3.5K,March_23_2024,Spring
King St-Old Town,PM Peak (3pm-7pm),0.9K,March_23_2024,Spring
Judiciary Square,PM Peak (3pm-7pm),0.8K,March_23_2024,Spring
Innovation Center,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Hyattsville Crossing,PM Peak (3pm-7pm),0.7K,March_23_2024,Spring
Huntington,PM Peak (3pm-7pm),0.5K,March_23_2024,Spring
Herndon,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Greensboro,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Greenbelt,PM Peak (3pm-7pm),0.6K,March_23_2024,Spring
Glenmont,PM Peak (3pm-7pm),0.5K,March_23_2024,Spring
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.0K,March_23_2024,Spring
Gallery Place,PM Peak (3pm-7pm),5.6K,March_23_2024,Spring
Friendship Heights,PM Peak (3pm-7pm),0.8K,March_23_2024,Spring
Franconia-Springfield,PM Peak (3pm-7pm),0.5K,March_23_2024,Spring
Fort Totten,PM Peak (3pm-7pm),0.9K,March_23_2024,Spring
Forest Glen,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Foggy Bottom-GWU,PM Peak (3pm-7pm),3.2K,March_23_2024,Spring
Federal Triangle,PM Peak (3pm-7pm),1.6K,March_23_2024,Spring
Federal Center SW,PM Peak (3pm-7pm),0.8K,March_23_2024,Spring
Farragut West,PM Peak (3pm-7pm),1.2K,March_23_2024,Spring
Farragut North,PM Peak (3pm-7pm),1.4K,March_23_2024,Spring
Eisenhower Ave,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Eastern Market,PM Peak (3pm-7pm),1.2K,March_23_2024,Spring
East Falls Church,PM Peak (3pm-7pm),0.5K,March_23_2024,Spring
Dupont Circle,PM Peak (3pm-7pm),3.1K,March_23_2024,Spring
Dunn Loring,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Dulles Airport,PM Peak (3pm-7pm),0.8K,March_23_2024,Spring
Downtown Largo,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Deanwood,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Crystal City,PM Peak (3pm-7pm),1.1K,March_23_2024,Spring
Court House,PM Peak (3pm-7pm),1.0K,March_23_2024,Spring
Congress Heights,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Columbia Heights,PM Peak (3pm-7pm),2.2K,March_23_2024,Spring
College Park-U of Md,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Cleveland Park,PM Peak (3pm-7pm),0.6K,March_23_2024,Spring
Clarendon,PM Peak (3pm-7pm),0.9K,March_23_2024,Spring
Cheverly,PM Peak (3pm-7pm),0.1K,March_23_2024,Spring
Capitol South,PM Peak (3pm-7pm),1.3K,March_23_2024,Spring
Capitol Heights,PM Peak (3pm-7pm),0.2K,March_23_2024,Spring
Brookland-CUA,PM Peak (3pm-7pm),0.7K,March_23_2024,Spring
Branch Ave,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Braddock Road,PM Peak (3pm-7pm),0.4K,March_23_2024,Spring
Bethesda,PM Peak (3pm-7pm),1.0K,March_23_2024,Spring
Benning Road,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Ballston-MU,PM Peak (3pm-7pm),1.3K,March_23_2024,Spring
Ashburn,PM Peak (3pm-7pm),0.3K,March_23_2024,Spring
Arlington Cemetery,PM Peak (3pm-7pm),0.5K,March_23_2024,Spring
Archives,PM Peak (3pm-7pm),1.9K,March_23_2024,Spring
Anacostia,PM Peak (3pm-7pm),0.5K,March_23_2024,Spring
Addison Road,PM Peak (3pm-7pm),0.1K,March_23_2024,Spring
Woodley Park,Midday (9:30am-3pm),1.0K,March_23_2024,Spring
Wiehle-Reston East,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Wheaton,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
West Hyattsville,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
West Falls Church,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Waterfront,Midday (9:30am-3pm),0.8K,March_23_2024,Spring
Virginia Sq-GMU,Midday (9:30am-3pm),0.7K,March_23_2024,Spring
Vienna,Midday (9:30am-3pm),1.3K,March_23_2024,Spring
Van Ness-UDC,Midday (9:30am-3pm),0.9K,March_23_2024,Spring
Van Dorn Street,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Union Station,Midday (9:30am-3pm),3.2K,March_23_2024,Spring
U Street,Midday (9:30am-3pm),1.4K,March_23_2024,Spring
Tysons,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Twinbrook,Midday (9:30am-3pm),0.6K,March_23_2024,Spring
Tenleytown-AU,Midday (9:30am-3pm),1.0K,March_23_2024,Spring
Takoma,Midday (9:30am-3pm),0.8K,March_23_2024,Spring
Suitland,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
Stadium-Armory,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Spring Hill,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Southern Ave,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Smithsonian,Midday (9:30am-3pm),2.3K,March_23_2024,Spring
Silver Spring,Midday (9:30am-3pm),1.4K,March_23_2024,Spring
Shaw-Howard U,Midday (9:30am-3pm),0.9K,March_23_2024,Spring
Shady Grove,Midday (9:30am-3pm),1.5K,March_23_2024,Spring
Rosslyn,Midday (9:30am-3pm),1.7K,March_23_2024,Spring
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.8K,March_23_2024,Spring
Rockville,Midday (9:30am-3pm),0.6K,March_23_2024,Spring
Rhode Island Ave,Midday (9:30am-3pm),1.0K,March_23_2024,Spring
Reston Town Center,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Potomac Yard,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
Potomac Ave,Midday (9:30am-3pm),0.7K,March_23_2024,Spring
Pentagon City,Midday (9:30am-3pm),2.3K,March_23_2024,Spring
Pentagon,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
North Bethesda,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
NoMa-Gallaudet U,Midday (9:30am-3pm),2.9K,March_23_2024,Spring
New Carrollton,Midday (9:30am-3pm),0.7K,March_23_2024,Spring
Naylor Road,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Navy Yard-Ballpark,Midday (9:30am-3pm),1.7K,March_23_2024,Spring
Mt Vernon Sq,Midday (9:30am-3pm),1.1K,March_23_2024,Spring
Morgan Boulevard,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Minnesota Ave,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Metro Center,Midday (9:30am-3pm),2.1K,March_23_2024,Spring
Medical Center,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
McPherson Sq,Midday (9:30am-3pm),1.4K,March_23_2024,Spring
McLean,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Loudoun Gateway,Midday (9:30am-3pm),0.1K,March_23_2024,Spring
Landover,Midday (9:30am-3pm),0.1K,March_23_2024,Spring
L'Enfant Plaza,Midday (9:30am-3pm),1.7K,March_23_2024,Spring
King St-Old Town,Midday (9:30am-3pm),1.3K,March_23_2024,Spring
Judiciary Square,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Innovation Center,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Hyattsville Crossing,Midday (9:30am-3pm),0.7K,March_23_2024,Spring
Huntington,Midday (9:30am-3pm),0.9K,March_23_2024,Spring
Herndon,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Grosvenor-Strathmore,Midday (9:30am-3pm),0.6K,March_23_2024,Spring
Greensboro,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Greenbelt,Midday (9:30am-3pm),1.2K,March_23_2024,Spring
Glenmont,Midday (9:30am-3pm),0.7K,March_23_2024,Spring
Georgia Ave-Petworth,Midday (9:30am-3pm),1.1K,March_23_2024,Spring
Gallery Place,Midday (9:30am-3pm),2.9K,March_23_2024,Spring
Friendship Heights,Midday (9:30am-3pm),0.9K,March_23_2024,Spring
Franconia-Springfield,Midday (9:30am-3pm),1.1K,March_23_2024,Spring
Fort Totten,Midday (9:30am-3pm),1.3K,March_23_2024,Spring
Forest Glen,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
Foggy Bottom-GWU,Midday (9:30am-3pm),2.9K,March_23_2024,Spring
Federal Triangle,Midday (9:30am-3pm),0.8K,March_23_2024,Spring
Federal Center SW,Midday (9:30am-3pm),0.6K,March_23_2024,Spring
Farragut West,Midday (9:30am-3pm),1.1K,March_23_2024,Spring
Farragut North,Midday (9:30am-3pm),1.1K,March_23_2024,Spring
Eisenhower Ave,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
Eastern Market,Midday (9:30am-3pm),1.3K,March_23_2024,Spring
East Falls Church,Midday (9:30am-3pm),0.9K,March_23_2024,Spring
Dupont Circle,Midday (9:30am-3pm),3.0K,March_23_2024,Spring
Dunn Loring,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Dulles Airport,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Downtown Largo,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Deanwood,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Crystal City,Midday (9:30am-3pm),1.9K,March_23_2024,Spring
Court House,Midday (9:30am-3pm),1.4K,March_23_2024,Spring
Congress Heights,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
Columbia Heights,Midday (9:30am-3pm),2.3K,March_23_2024,Spring
College Park-U of Md,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Cleveland Park,Midday (9:30am-3pm),0.8K,March_23_2024,Spring
Clarendon,Midday (9:30am-3pm),1.0K,March_23_2024,Spring
Cheverly,Midday (9:30am-3pm),0.1K,March_23_2024,Spring
Capitol South,Midday (9:30am-3pm),1.0K,March_23_2024,Spring
Capitol Heights,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Brookland-CUA,Midday (9:30am-3pm),0.9K,March_23_2024,Spring
Branch Ave,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Braddock Road,Midday (9:30am-3pm),0.6K,March_23_2024,Spring
Bethesda,Midday (9:30am-3pm),1.2K,March_23_2024,Spring
Benning Road,Midday (9:30am-3pm),0.5K,March_23_2024,Spring
Ballston-MU,Midday (9:30am-3pm),1.7K,March_23_2024,Spring
Ashburn,Midday (9:30am-3pm),0.4K,March_23_2024,Spring
Arlington Cemetery,Midday (9:30am-3pm),0.3K,March_23_2024,Spring
Archives,Midday (9:30am-3pm),0.8K,March_23_2024,Spring
Anacostia,Midday (9:30am-3pm),0.7K,March_23_2024,Spring
Addison Road,Midday (9:30am-3pm),0.2K,March_23_2024,Spring
Woodley Park,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Wiehle-Reston East,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Wheaton,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
West Hyattsville,AM Peak (Open-9:30am),0.4K,March_23_2024,Spring
West Falls Church,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Waterfront,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Virginia Sq-GMU,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Vienna,AM Peak (Open-9:30am),0.3K,March_23_2024,Spring
Van Ness-UDC,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Van Dorn Street,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Union Station,AM Peak (Open-9:30am),0.5K,March_23_2024,Spring
U Street,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Tysons,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Twinbrook,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Tenleytown-AU,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Takoma,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Suitland,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Stadium-Armory,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Spring Hill,AM Peak (Open-9:30am),0.0K,March_23_2024,Spring
Southern Ave,AM Peak (Open-9:30am),0.3K,March_23_2024,Spring
Smithsonian,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Silver Spring,AM Peak (Open-9:30am),0.5K,March_23_2024,Spring
Shaw-Howard U,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Shady Grove,AM Peak (Open-9:30am),0.5K,March_23_2024,Spring
Rosslyn,AM Peak (Open-9:30am),0.6K,March_23_2024,Spring
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.4K,March_23_2024,Spring
Rockville,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Rhode Island Ave,AM Peak (Open-9:30am),0.4K,March_23_2024,Spring
Reston Town Center,AM Peak (Open-9:30am),0.0K,March_23_2024,Spring
Potomac Yard,AM Peak (Open-9:30am),0.0K,March_23_2024,Spring
Potomac Ave,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Pentagon City,AM Peak (Open-9:30am),0.4K,March_23_2024,Spring
Pentagon,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
North Bethesda,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
NoMa-Gallaudet U,AM Peak (Open-9:30am),0.4K,March_23_2024,Spring
New Carrollton,AM Peak (Open-9:30am),0.3K,March_23_2024,Spring
Naylor Road,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Navy Yard-Ballpark,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Mt Vernon Sq,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Morgan Boulevard,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Minnesota Ave,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Metro Center,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
Medical Center,AM Peak (Open-9:30am),0.0K,March_23_2024,Spring
McPherson Sq,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
McLean,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
Loudoun Gateway,AM Peak (Open-9:30am),0.0K,March_23_2024,Spring
Landover,AM Peak (Open-9:30am),0.1K,March_23_2024,Spring
L'Enfant Plaza,AM Peak (Open-9:30am),0.2K,March_23_2024,Spring
